sampling_time,input,y
0.0,2.21,14.0
1e-05,2.21,14.0
2e-05,2.2,14.2
3e-05,2.21,14.2
4e-05,2.21,14.4
5e-05,2.21,14.4
6e-05,2.21,14.6
7e-05,2.2,14.6
8.000000000000002e-05,2.2,14.6
9.000000000000002e-05,2.2,14.8
0.0001,2.21,14.8
0.00011,2.2,15.6
0.00012,2.2,15.0
0.00013,2.2,15.2
0.00014,2.21,15.2
0.00015,2.21,15.2
0.00016,2.21,15.4
0.00017,2.2,15.4
0.00018,2.21,15.4
0.00019,2.2,15.4
0.0002,2.21,15.6
0.00021,2.2,15.4
0.00022,2.2,15.6
0.00023,2.21,15.6
0.00024,2.21,15.8
0.00025,2.21,15.6
0.00026,2.2,15.8
0.00027,2.2,15.8
0.00028,2.2,15.8
0.00029,2.2,15.8
0.0003,2.2,15.8
0.00031,2.21,15.8
0.00032,2.2,15.8
0.00033,2.21,15.8
0.00034,2.2,15.8
0.00035,2.2,15.8
0.00036,2.2,15.8
0.00037,2.2,15.8
0.00038,2.2,15.8
0.00039,2.2,15.8
0.0004,2.21,16.0
0.00041,2.2,15.6
0.00042,2.2,15.6
0.00043,2.2,15.6
0.00044,2.2,15.6
0.00045,2.2,15.4
0.00046,2.21,15.4
0.00047,2.2,15.4
0.00048,2.2,15.4
0.00049,2.21,15.4
0.0005,2.21,15.2
0.00051,2.21,15.2
0.00052,2.21,15.2
0.00053,2.2,15.2
0.00054,2.2,15.0
0.00055,2.2,15.0
0.00056,2.21,15.0
0.00057,2.21,15.0
0.00058,2.21,15.0
0.00059,2.2,14.8
0.0006,2.2,14.8
0.00061,2.2,14.8
0.00062,2.2,14.8
0.00063,2.2,14.6
0.00064,2.2,14.6
0.00065,2.2,14.6
0.00066,2.2,14.6
0.00067,2.2,14.4
0.00068,2.2,14.4
0.00069,2.2,14.4
0.0007,2.2,14.4
0.00071,2.21,14.4
0.00072,2.2,14.2
0.00073,2.21,14.2
0.00074,2.21,14.2
0.00075,2.2,14.2
0.00076,2.2,14.2
0.00077,2.2,14.2
0.00078,2.2,14.0
0.00079,2.21,14.0
0.0008,2.2,14.0
0.00081,2.2,14.0
0.00082,2.21,14.0
0.00083,2.2,14.0
0.00084,2.2,14.0
0.00085,2.2,13.8
0.00086,2.2,14.0
0.00087,2.2,14.0
0.00088,2.2,13.8
0.0008899999999999998,2.21,13.8
0.0009,2.2,13.8
0.00091,2.2,13.8
0.00092,2.2,13.8
0.00093,2.2,13.8
0.00094,2.2,13.8
0.00095,2.2,13.8
0.00096,2.2,13.8
0.00097,2.2,13.8
0.00098,2.2,13.8
0.00099,2.2,13.8
0.001,2.2,14.0
0.00101,2.21,13.8
0.00102,2.21,13.8
0.00103,2.2,14.0
0.00104,2.2,14.0
0.00105,2.2,14.0
0.00106,2.2,14.0
0.00107,2.2,14.0
0.00108,2.21,14.0
0.00109,2.2,14.0
0.0011,2.21,14.0
0.00111,2.2,14.0
0.00112,2.2,14.0
0.00113,2.2,14.2
0.00114,2.2,13.8
0.00115,2.2,14.0
0.00116,2.2,14.2
0.00117,2.2,14.2
0.00118,2.2,14.2
0.00119,2.21,14.2
0.0012,2.21,14.2
0.00121,2.21,14.2
0.00122,2.2,14.2
0.00123,2.2,14.4
0.00124,2.2,14.4
0.00125,2.2,14.4
0.00126,2.21,14.4
0.00127,2.2,14.4
0.00128,2.2,14.4
0.00129,2.2,14.4
0.0013,2.19,13.2
0.00131,2.2,14.4
0.00132,2.2,14.6
0.00133,2.2,14.4
0.00134,2.2,14.4
0.00135,2.21,14.4
0.00136,2.2,14.6
0.00137,2.2,14.6
0.00138,2.2,14.6
0.00139,2.2,14.6
0.0014,2.2,14.6
0.00141,2.21,14.6
0.00142,2.21,14.6
0.00143,2.2,14.4
0.00144,2.2,14.6
0.00145,2.2,14.6
0.00146,2.21,14.6
0.00147,2.2,14.6
0.00148,2.21,14.6
0.00149,2.2,14.6
0.0015,2.2,14.6
0.00151,2.21,14.6
0.00152,2.2,14.6
0.00153,2.2,14.6
0.00154,2.2,14.6
0.00155,2.2,14.6
0.00156,2.2,14.6
0.00157,2.2,14.6
0.00158,2.2,14.6
0.00159,2.2,14.4
0.0016,2.2,14.6
0.00161,2.2,14.6
0.00162,2.2,14.6
0.00163,2.21,14.6
0.00164,2.2,14.6
0.00165,2.2,14.6
0.00166,2.2,14.6
0.00167,2.21,14.6
0.00168,2.21,14.6
0.00169,2.2,14.6
0.0017,2.2,14.6
0.00171,2.21,14.6
0.00172,2.2,14.6
0.00173,2.21,14.6
0.00174,2.21,14.6
0.00175,2.2,14.6
0.00176,2.2,14.4
0.00177,2.2,14.6
0.00178,2.2,14.6
0.00179,2.2,14.6
0.0018,2.2,14.6
0.00181,2.2,14.6
0.00182,2.2,14.4
0.00183,2.2,14.6
0.00184,2.2,14.4
0.00185,2.2,14.4
0.00186,2.2,14.4
0.00187,2.2,14.4
0.00188,2.21,14.4
0.00189,2.2,14.4
0.0019,2.2,14.4
0.00191,2.2,14.4
0.00192,2.2,14.4
0.00193,2.2,14.4
0.00194,2.21,14.4
0.00195,2.21,14.4
0.00196,2.21,14.4
0.00197,2.21,14.4
0.00198,2.2,14.4
0.00199,2.21,14.4
0.002,2.2,14.4
0.00201,2.2,14.4
0.00202,2.2,14.4
0.00203,2.2,14.4
0.00204,2.21,15.0
0.00205,2.2,14.4
0.00206,2.2,14.4
0.00207,2.2,14.4
0.00208,2.2,14.2
0.00209,2.2,14.4
0.0021,2.21,14.4
0.00211,2.2,14.4
0.00212,2.2,14.4
0.00213,2.2,14.4
0.00214,2.21,14.4
0.00215,2.2,14.4
0.00216,2.2,14.4
0.00217,2.2,14.2
0.00218,2.2,14.4
0.00219,2.21,14.4
0.0022,2.2,14.4
0.00221,2.2,14.4
0.00222,2.2,14.4
0.00223,2.21,14.4
0.00224,2.2,14.4
0.00225,2.2,14.4
0.00226,2.21,14.4
0.00227,2.2,14.4
0.00228,2.2,14.4
0.00229,2.2,14.4
0.0023,2.2,14.4
0.00231,2.2,14.4
0.00232,2.21,14.4
0.00233,2.21,14.6
0.00234,2.2,14.4
0.00235,2.2,14.4
0.00236,2.2,14.4
0.00237,2.2,14.4
0.00238,2.2,14.4
0.00239,2.2,14.4
0.0024,2.2,14.4
0.00241,2.2,14.4
0.00242,2.2,14.4
0.00243,2.2,14.4
0.00244,2.2,14.4
0.00245,2.21,14.4
0.00246,2.21,14.4
0.00247,2.2,14.4
0.00248,2.2,14.4
0.00249,2.19,13.4
0.0025,2.2,14.4
0.00251,2.21,14.4
0.00252,2.21,14.4
0.00253,2.2,14.4
0.00254,2.2,14.4
0.00255,2.2,14.4
0.00256,2.2,14.4
0.00257,2.2,14.4
0.00258,2.2,14.4
0.00259,2.2,14.4
0.0026,2.2,14.4
0.00261,2.2,14.4
0.00262,2.2,14.4
0.00263,2.2,14.4
0.00264,2.2,14.4
0.00265,2.2,14.4
0.00266,2.2,14.4
0.00267,2.2,14.4
0.00268,2.21,14.4
0.00269,2.2,14.4
0.0027,2.2,14.4
0.00271,2.2,14.4
0.00272,2.2,14.4
0.00273,2.2,14.4
0.00274,2.21,14.4
0.00275,2.21,14.4
0.00276,2.21,14.4
0.00277,2.21,14.4
0.00278,2.2,14.0
0.00279,2.2,14.4
0.0028,2.2,14.4
0.00281,2.21,14.4
0.00282,2.2,14.4
0.00283,2.21,14.4
0.00284,2.21,14.4
0.00285,2.2,14.4
0.00286,2.2,14.4
0.00287,2.2,14.4
0.00288,2.21,14.4
0.00289,2.2,14.4
0.0029,2.24,14.4
0.00291,2.35,14.4
0.00292,2.42,14.4
0.00293,2.47,14.4
0.00294,2.49,14.4
0.00295,2.5,14.4
0.00296,2.5,14.4
0.00297,2.51,14.2
0.00298,2.51,14.2
0.00299,2.51,14.2
0.003,2.51,14.0
0.00301,2.51,14.0
0.00302,2.51,14.0
0.00303,2.51,14.0
0.00304,2.51,13.8
0.00305,2.51,13.8
0.00306,2.51,13.8
0.00307,2.51,13.8
0.00308,2.51,13.8
0.00309,2.51,13.6
0.0031,2.51,13.6
0.00311,2.51,13.6
0.00312,2.51,13.6
0.00313,2.51,13.4
0.00314,2.51,13.4
0.00315,2.51,13.4
0.00316,2.51,13.4
0.00317,2.51,13.4
0.00318,2.51,13.4
0.00319,2.51,13.2
0.0032,2.51,13.2
0.00321,2.51,13.2
0.00322,2.51,13.2
0.00323,2.51,13.0
0.00324,2.5,13.0
0.00325,2.51,13.0
0.00326,2.51,13.0
0.00327,2.5,13.0
0.00328,2.51,13.0
0.00329,2.5,13.0
0.0033,2.51,12.8
0.00331,2.5,12.8
0.00332,2.51,12.8
0.00333,2.51,12.8
0.00334,2.5,12.8
0.00335,2.51,12.6
0.00336,2.51,12.6
0.00337,2.51,12.6
0.00338,2.51,12.6
0.00339,2.51,12.6
0.0034,2.5,12.4
0.00341,2.5,12.4
0.00342,2.51,12.4
0.00343,2.5,12.4
0.00344,2.51,12.4
0.00345,2.51,12.4
0.00346,2.51,12.2
0.00347,2.5,12.2
0.00348,2.51,12.2
